id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26163757,penthouse near CS station/free parking/great views,838789,Sarah,,Borgerhout Intra Muros Noord,51.21709,4.43787,Entire home/apt,,5,0,,,1,0,0,
26175436,"Private room, little terrace and Park, in Antwerp",70971751,Dries,,Tentoonstellingswijk,51.19143,4.39752,Private room,,3,11,2024-07-29,0.14,1,0,2,
26181108,Virginie Loveling with quiet and ecological garden,37722028,Zouhra,,Stuivenberg,51.21944,4.43226,Entire home/apt,113,2,81,2024-09-20,1.03,4,287,6,
26298543,"Room Rosalie Loveling, with private bathroom!",37722028,Zouhra,,Stuivenberg,51.221,4.43232,Entire home/apt,63,2,91,2024-12-08,1.15,4,317,9,
26317331,Appartment Antwerp,197906689,Guy,,Wilrijk Centrum,51.17275,4.39162,Entire home/apt,100,3,0,,,1,365,0,
26347234,Cosy Antwerp City Center apartment,193627086,Willy,,Historisch Centrum,51.22244,4.40145,Entire home/apt,40,30,16,2024-11-07,0.22,2,152,5,
26477493,Loft appartment 120 m²,66862862,Koen,,Amandus - Atheneum,51.22402,4.41852,Entire home/apt,,2,9,2019-07-21,0.11,1,0,0,
26592318,Luxurious Condo in Antwerp (incl. Indoor Parking),103833743,Marnik,,Middelheim,51.18304,4.39287,Entire home/apt,307,2,33,2024-07-29,0.42,1,21,4,
26774974,Cosy city house,201323825,Tamara,,Brederode,51.20501,4.40326,Entire home/apt,85,7,0,,,1,173,0,
26802748,Green urban oasis on car-free courtyard,34449017,Martha,,Borgerhout Intra Muros Zuid,51.21625,4.42953,Entire home/apt,,3,29,2023-08-11,0.37,1,0,0,
26937582,Antwerp Central Appartement,130014867,Steve,,Centraal Station,51.21554,4.41694,Entire home/apt,200,2,215,2024-12-22,2.76,1,193,44,
27195796,Huidevettersstraat appartment,60776484,Michael,,Theaterbuurt-Meir,51.2174,4.40461,Entire home/apt,140,30,10,2022-12-30,0.13,1,84,0,
27201396,Quiet room in Joyful house,6624049,Hilde,,Deurne Zuid Oost,51.2014942,4.4629384,Private room,60,1,19,2024-08-12,1.27,1,264,16,
27288680,Luxury & Cozy Room For You!!,142235853,Prince,,Middelheim,51.18198,4.39218,Private room,50,2,19,2023-03-19,0.29,2,0,0,
27479453,Loft with lovely city garden,166595468,Lien,,Amandus - Atheneum,51.22669,4.41897,Entire home/apt,,2,1,2019-01-02,0.01,1,0,0,
27489768,beautiful and spacious  family apartment,110993942,Rev,,Amandus - Atheneum,51.21999,4.42154,Entire home/apt,288,3,27,2024-07-22,0.35,16,328,7,
27490882,blue and beautiful apartment in Antwerp,110993942,Rev,,Amandus - Atheneum,51.21925,4.42378,Entire home/apt,131,2,10,2022-10-09,0.13,16,341,0,
27564444,comfort  city apartment met balkon in hartje stad,5187214,Koenraad,,Harmonie,51.208656,4.405282,Entire home/apt,,14,13,2024-04-22,0.18,3,0,2,
27567210,Duplex next to park and Eilandje,7716505,Thomas,,Dam,51.2332,4.42201,Entire home/apt,,2,8,2021-10-03,0.10,1,0,0,
