alojamiento_tipo;categoria;denominacion;via_tipo;via_nombre;numero;bloque;portal;escalera;planta;puerta;cdpostal;localidad;signatura
VIVIENDAS DE USO TU;SIN CATEGORIA;FUENCARRAL, 126, 3A;CALLE;de Fuencarral;126;;;;3;A;;Madrid;VT-4074
VIVIENDAS DE USO TU;SIN CATEGORIA;DON FELIPE, 12, BAJO EXT. IZDA.;CALLE;de Don Felipe;12;;;;BAJO;IZDA;28004;Madrid;VT-4403
VIVIENDAS DE USO TU;SIN CATEGORIA;TERUEL, 16;CALLE;de Teruel;16;;;;6;A;28020;Madrid;VT-4404
VIVIENDAS DE USO TU;SIN CATEGORIA;CONDE DE MIRANDA, 7;PLAZA;del Conde de Miranda;1;;;;3;7;28005;Madrid;VT-4405
VIVIENDAS DE USO TU;SIN CATEGORIA;ALMENDRO, 4, 2D;CALLE;del Almendro;4;;;;2;D;28005;Madrid;VT-4406
VIVIENDAS DE USO TU;SIN CATEGORIA;ACACIAS, 11;PASEO;de las Acacias;11;;;;5;L;28005;Madrid;VT-4408
VIVIENDAS DE USO TU;SIN CATEGORIA;VÍCTOR HUGO, 5, 1D;CALLE;de Víctor Hugo;5;;;;1;D;28004;Madrid;VT-4410
VIVIENDAS DE USO TU;SIN CATEGORIA;VÍCTOR HUGO, 5, 1A;CALLE;de Víctor Hugo;5;;;;1;A;28004;Madrid;VT-4411
VIVIENDAS DE USO TU;SIN CATEGORIA;VÍCTOR HUGO, 5, 2C;CALLE;de Víctor Hugo;5;;;;2;C;28004;Madrid;VT-4412
VIVIENDAS DE USO TU;SIN CATEGORIA;MANUELA MALASAÑA, 26;CALLE;de Manuela Malasaña;26;;;;1;IZQ.;28004;Madrid;VT-4413
VIVIENDAS DE USO TU;SIN CATEGORIA;DR FEDERICO RUBIO Y GALI;AVDA;del Doctor Federico Rubio y Galí;73;;;A;3;F;;Madrid;VT-4414
VIVIENDAS DE USO TU;SIN CATEGORIA;LIMÓN, 28;CALLE;del Limón;28;;;;2;B;28015;Madrid;VT-4415
VIVIENDAS DE USO TU;SIN CATEGORIA;HUERTAS, 14, 1º INT. DCHA.;CALLE;de las Huertas;14;;;INT;1;DCHA.;;Madrid;VT-4416
VIVIENDAS DE USO TU;SIN CATEGORIA;SAN LEONARDO, 5, 2º A;CALLE;de San Leonardo;5;;;;2;A;28015;Madrid;VT-4417
VIVIENDAS DE USO TU;SIN CATEGORIA;LUIS VÉLEZ DE GUEVARA, 16;CALLE;de Luis Vélez de Guevara;16;;;;2;5;28012;Madrid;VT-4418
VIVIENDAS DE USO TU;SIN CATEGORIA;NARANJO, 3;CALLE;del Naranjo;3;;;;;;28607;Álamo, El;VT-4419
VIVIENDAS DE USO TU;SIN CATEGORIA;JUAN BRAVO, 2 5º IZDA;CALLE;de Juan Bravo;2;;;;5;IZQ.;28006;Madrid;VT-4420
VIVIENDAS DE USO TU;SIN CATEGORIA;FUENTE DEL BERRO, 11;CALLE;de la Fuente del Berro;11;;;;3;E;28009;Madrid;VT-4421
VIVIENDAS DE USO TU;SIN CATEGORIA;MALDONADAS, 7;CALLE;de las Maldonadas;7;;;;4;IZQ.;28005;Madrid;VT-4422
VIVIENDAS DE USO TU;SIN CATEGORIA;PRINCESA, 12;CALLE;de la Princesa;12;;;;3;307;28008;Madrid;VT-4423
VIVIENDAS DE USO TU;SIN CATEGORIA;REYES, 11, 4C;CALLE;de los Reyes;11;;;;4;C;28015;Madrid;VT-4424
VIVIENDAS DE USO TU;SIN CATEGORIA;TOLEDO, 90, 1ºIºº;CALLE;de Toledo;90;;;;1;I;28005;Madrid;VT-4425
VIVIENDAS DE USO TU;SIN CATEGORIA;ALMENDRO, 7;TRVA;del Almendro;7;;;;2;D;28005;Madrid;VT-4846
VIVIENDAS DE USO TU;SIN CATEGORIA;MANZANA, 7;CALLE;de la Manzana;7;;;;Bajo;Dcha.;28015;Madrid;VT-4850
VIVIENDAS DE USO TU;SIN CATEGORIA;COLEGIATA, 6;CALLE;de la Colegiata;6;;;;1;IZQ.;28012;Madrid;VT-4851
VIVIENDAS DE USO TU;SIN CATEGORIA;SAN MIGUEL, 9;PLAZA;de San Miguel;9;;;;1;IZQ.;28005;Madrid;VT-4854
VIVIENDAS DE USO TU;SIN CATEGORIA;CARRETAS, 13;CALLE;de Carretas;13;;;;5;8;28012;Madrid;VT-4857
VIVIENDAS DE USO TU;SIN CATEGORIA;HUERTA GRANDE, 2;AVDA;Huerta Grande;2;;;;B;B;28223;Pozuelo de Alarcón;VT-4858
VIVIENDAS DE USO TU;SIN CATEGORIA;BOCANGEL, 21;CALLE;de Bocángel;21;;;;4;J;28028;Madrid;VT-4859
