ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TOTAL_ELEM
"9536979";"Circuito deportivo elemental";"121";"ORCASITAS";"12";"USERA";"OPERATIVO";"440251.952";"4469132.232";"ETRS89";40.37062742;-3.70377298;"CALLE";"CAMPOTEJAR";"15";"28041";"EXPROPIACION,1";"11080910";"2024-06-28 00:00:00.0";"D1273";"AE21";11
"9536981";"Circuito deportivo elemental";"121";"ORCASITAS";"12";"USERA";"OPERATIVO";"438947.427";"4469254.439";"ETRS89";40.37163379;-3.71914956;"CALLE";"GAINZA";"35";"28041";"GIANZA 35";"11079657";"2024-06-16 00:00:00.0";"D1275";"AE21";11
"9591308";"Circuito deportivo elemental";"174";"LOS ROSALES";"17";"VILLAVERDE";"OPERATIVO";"441918.676";"4467235.501";"ETRS89";40.35365834;-3.68396925;"PASEO";"ESTACION";"3";"28021";"CV GRAN VIA DE VILLA VERDE";"11127008";"2023-12-15 00:00:00.0";"D1769";"AE21";6
"9592149";"Circuito deportivo elemental";"171";"VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE";"17";"VILLAVERDE";"OPERATIVO";"440332.498";"4465878.41";"ETRS89";40.34132091;-3.70252000;"AVENIDA";"GRAN VIA DE VILLAVERDE";"16";"28021";"GRAN VIA DE VILLAVERDE 16";"31065315";"2023-12-15 00:00:00.0";"D1771";"AE21";8
"8785833";"Circuito deportivo elemental";"151";"VENTAS";"15";"CIUDAD LINEAL";"OPERATIVO";"444146.811";"4474946.442";"ETRS89";40.42327531;-3.65840839;"CALLE";"RICARDO ORTIZ";"84";"28017";"PARQUE DE RICARDO ORTIZ";"11103458";"2022-02-15 00:00:00.0";"D1554";"AE21";9
"8799532";"Circuito deportivo elemental";"085";"LA PAZ";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"440771.795";"4481755.996";"ETRS89";40.48438525;-3.69882625;"CALLE";"SANTIAGO DE COMPOSTELA";"40";"28034";"NARCIS MONTURIOL";"11045914";"2022-03-29 00:00:00.0";"D0871";"AE21";8
"8799543";"Circuito deportivo elemental";"183";"ENSANCHE DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"446768.99";"4468922.094";"ETRS89";40.36917600;-3.62699579;"AVENIDA";"MAYORAZGO";"30";"28051";"C/GRANJA DE SAN IDELFONSO";"31065785";"2022-03-29 00:00:00.0";"D1867";"AE21";8
"8799549";"Circuito deportivo elemental";"097";"ARAVACA";"09";"MONCLOA - ARAVACA";"OPERATIVO";"433907.73";"4479309.895";"ETRS89";40.46183218;-3.77955288;"PASEO";"ERMITA";"30";"28023";"ARAIZ";"11057313";"2022-04-05 00:00:00.0";"D0959";"AE21";15
"8799551";"Circuito deportivo elemental";"142";"HORCAJO";"14";"MORATALAZ";"OPERATIVO";"446358.202";"4472834.792";"ETRS89";40.40439779;-3.63216356;"CALLE";"LAGUNA NEGRA";"1 A";"28030";"CALLE CAÑON DEL RIO LOBOS";"20129775";"2022-04-05 00:00:00.0";"D1459";"AE21";14
"8799553";"Circuito deportivo elemental";"174";"LOS ROSALES";"17";"VILLAVERDE";"OPERATIVO";"441197.831";"4467119.783";"ETRS89";40.35256537;-3.69244671;"PLAZA";"CHOZAS DE CANALES";"1";"28021";"AV ANDALUCIA";"11126886";"2022-04-05 00:00:00.0";"D1766";"AE21";11
"8799600";"Circuito deportivo elemental";"204";"ARCOS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"447605.053";"4475160.579";"ETRS89";40.42542935;-3.61766192;"CALLE";"CONSERVEROS";"17";"28037";"APAREJADORES";"11135747";"2022-04-05 00:00:00.0";"D2068";"AE21";15
"8799606";"Circuito deportivo elemental";"097";"ARAVACA";"09";"MONCLOA - ARAVACA";"OPERATIVO";"433830.431";"4477500.419";"ETRS89";40.44552580;-3.78027596;"AVENIDA";"TALGO";"1";"28023";"CARRETERA DE ARAVACA";"20172160";"2022-03-25 00:00:00.0";"D0960";"AE21";6
